Author,Title,Subtitle,ISBN 1,Publisher,TS,Pages,Language,Annotations,Illustrator,Translator,Original Title,Original language,Date of publishing
"Schulze, Ingo",Adam a Evelyn,,9788087317006,"Nakladatelství Vakát, s. r. o.",13,280,?eský,"Ženy milují Adama, protože jim šije šaty, ve kterých vypadají krásn? a žádostiv?. Adam má rád krásné ženy. A když navíc nosí jeho šaty, nedokáže žádné z nich odolat. Adam žije se svou láskou Evelyn. Ta ho jednoho horkého srpnového dne v roce 1989 nachytá, jak se miluje se zákaznicí. Místo s Adamem odjíždí Evelyn do Ma?arska k Balatonu se svou kamarádkou a jejím západon?meckým bratrancem. Adam se vydává za nimi. Kv?li Evelyn by jel na konec sv?ta – a možná, že až tam bude muset zajet, protože Ma?arsko práv? hodlá otev?ít hranice na Západ. Najednou je zakázané ovoce zralé a všichni se musí rozhodnout. Ve výjime?né situaci onoho pozdního léta roku 1989, v ?ase nenadálé svobody, objevuje Ingo Schulze pradávný p?íb?h zákazu a pokušení, lásky a poznání, a v neposlední ?ad? i touhy po ráji.",,"Dimter, Tomáš",Adam und Evelyn,n?mecký,2005
Wells Spencer,Adam a jeho rod,Genetická odysea ?lov?ka,9788072036400,Argo spol. s r.o.,2,256,?eský,"Existence naší pramatky, slavné Evy, je dnes již tak?ka obecn? p?ijímanou hypotézou. Ale existoval i Adam? Zdá se, že ano. P?ed  šedesáti tisíci lety se procházel po afrických pláních muž, podle všeho p?edek všech lidí, kte?í žili na naší planet? v posledních n?kolika tisících letech – vás, císa?? Augusta i Napoleona, milenek Eskymo Welzla  i ná?elníka kmene Apa??. Pro? to byl práv? on? Jak se dostali Adamovi potomci do všech kout? sv?ta? A co se stalo s potomky ostatních muž?? Na tyto a další otázky odpovídá kniha genetika Spencera Wellse a mapuje p?i tom putování lidského rodu na základ? stop, které nám poskytuje DNA. B?hem této vzrušující cesty m?žeme pochopit i vznik ohromující rozmanitosti lidských ras a typ?, které se liší  velikostí postavy, barvou pleti  a v neposlední ?ad? i jazyky.",,Kalous Martin,The Journey of Man,anglický,2005
"Wells, Spencer",Adam a jeho rod.,Genetická odysea ?lov?ka,9788086569796,Doko?án s.r.o.,2,256,?eský,"Existence naší pramatky, slavné Evy, je dnes již obecn? p?ijímanou hypotézou. Ale existoval i Adam? Zdá se, že ano. P?ed šedesáti tisíci lety se procházel po afrických pláních muž, který byl podle všeho p?edkem všech lidí, kte?í na Zemi v historické dob? žili. Pro? to byl práv? on? Jak se dostali Adamovi potomci do všech kout? sv?ta? A co se stalo s d?tmi ostatních muž?? Na tyto a další otázky odpovídá kniha genetika Spencera Wellse, který mapuje putování lidského rodu na základ? stop, jež nám poskytuje DNA. B?hem této vzrušující cesty pochopíme i vznik lidských ras a typ?.",,Martin Kalous,The Journey of Man,angli?tina,2012
"Rupnik, Marko Ivan",Adam a jeho žebro,,9788074120527,REFUGIUM Velehrad-Roma,0,80,?eský,"Jak muž prožívá sou?ást svého t?la, darovanou ženu? O tom zasv?cen? pojednává dramatická ?etba prvních stránek biblického p?íb?hu o stvo?ení ženy, v interpretaci um?lce-teologa Marka Rupnika SJ. Text hovo?í o ?etných stránkách manželského soužití.","Rupnik, Marko Ivan","?unek, Josef",Adamo e il suo costato,italský,2007
"Urbánková, Dagmar",Adam a koleno,,9788087022122,Baobab&GplusG,14,48,?eský,"Netuctový p?íb?h Dagmar Urbánkové je z t?ch, které nejdou z hlavy. Vypraví o Adamovi a rozbitém kolen?. A pro? by se d?j nemohl odehrávat p?ímo pod roztrženou nohavicí? Malý sv?t za trhlinou kalhot sestavila autorka z miniaturních v?ci?ek: kousk? pomeran?ové k?ry, klacík?, v?tví, list? a samoz?ejm? mali?kých loutek. Její scénografie nep?sobí nijak teatráln?, jsou neokázalé a vtipné a dopln?né stru?ným, avšak d?tí znalým textem.",,,,,2013
"Sehnal, Ji?í",Adam Michna z Otradovic - skladatel,,9788024434353,Univerzita Palackého v Olomouci,9,208,?eský,"Varhaník farního kostela v Jind?ichov? Hradci Adam Václav Michna z Otradovic (1600-1676) byl nejen vynikajícím básníkem, ale sou?asn? nejlepším ?eským kladatelem 17. století. Kniha je v?nována jeho životu a hudebnímu dílu, které je analyzováno a srovnáváno s tvorbou jeho sou?asník? a s p?ihlédnutím k hudební situaci v ?eských zemích po roce 1620. Postupn? je pojednáno o tišt?ných sbírkách: Obsequium Marianum (Víde? 1642), ?eská mariánská muzika (Praha 1647), Officium vespertinum (Praha 1648), Loutna ?eská (Praha 1653), Sacra et Litaniae (Praha 1654), Svatoro?ní muzika (Praha 1661) a o rukopisn? dochovaných skladbách (Missa s. Wenceslai a Magnificat).",,,,,2010
"Sehnal, Ji?í",Adam Michna z Otradovic: Missa sancti Wenceslai,,9788024425450,Univerzita Palackého v Olomouci,16,144,?eský,"Missa sancti Wenceslai byla již vydána v rámci ?ady Musica antiqua bohemica a dnes p?edstavuje tém?? klasické dílo ?eské edi?ní praxe. Byla totiž první edicí v?tší Michnovy skladby, a zárove? také jednou z prvních edic staré ?eské vokální (liturgické) hudby, která sm?la vyjít v 60. letech 20. století.",,,,,2013
"Sehnal, Ji?í",Adam Michna: Magnificat,,9788024432823,Univerzita Palackého v Olomouci,16,72,?eský,"Jde o první vydání rukopisného Magnificat nejvýzna?n?jšího ?eského barokního skladatele Adama Michny z Otradovic (1600-1676). P?edloha pochází z M?stské knihovny ve Vratislavi, ale dnes je uchována ve Státní knihovn? v Berlín? jako Preussischer Kulturbesitz. Skladba je zvláštní tím, že obsahuje pouze liché verše chvalozp?vu Magnificat. Tato úprava však není p?vodní. Podle dvou dochovaných hlas? je z?ejmé, že p?vodní verze obsahovala hudbu pro všechny verše a m?la jen 12 hlas?. Neznámý hudebník ve Vratislavi rozší?il obsazení na 16 hlas? a ponechal z Michnova díla jen liché verše. Partitura p?ináší jeho úpravu pro 16 hlas?. Generální bas a part teorby z p?vodního zn?ní pro 12 hlas? je p?ipojen za partiturou.",,,,,2008
"Motlová, Milada",Adam p?jde do školy,,9788024222561,Euromedia Group k.s.,14,112,?eský,"Pro všechny d?ti, které se chystají do školy! Tato knížka je ""živou abecedou"" pro všechny d?ti, které se chystají do školy (ale také pro jejich rodi?e a u?itelky mate?ských škol). Zdaleka tu však nejde jen o písmena a ?íslice. Pozornost je zam??ena p?edevším na ""abecedu"" rodiny, p?írody, lidského t?la a prost?edí, ve kterém lidé žijí a pracují. D?ti se dozví, jak se m??í ?as, jak se prom??uje voda, po?así i ro?ní období. P?i h?e si procvi?í pam?? a logické myšlení, najdou podn?ty k vlastnímu vyjad?ování. A na stránkách sešitu si každé aktivn? vyzkouší post?eh, soust?ed?ní i šikovnost svých rukou.",,,,,2015
"Motlová, Milada",Adam p?jde do školy,,9788024250991,Euromedia Group k.s.,14,112,?eský,"Tato knížka je ""živou abecedou"" pro všechny d?ti, které se  chystají do školy (ale také pro jejich rodi?e a u?itelky  mate?ských škol). Zdaleka tu však nejde jen o písmena a ?íslice.  Pozornost je zam??ena p?edevším na ""abecedu"" rodiny, p?írody,  lidského t?la a prost?edí, ve kterém lidé žijí a pracují. D?ti se  dozví, jak se m??í ?as, jak se prom??uje voda, po?así i ro?ní  období. P?i h?e si procvi?í pam?t a logické myšlení, najdou  podn?ty k vlastnímu vyjad?ování. A na stránkách sešitu si každé  aktivn? vyzkouší post?eh, soust?ed?ní i šikovnost svých rukou.",,,,,2014
"Jukl, Jakub Ji?í",Adamité,Historie a vyhubení husitských nahá??,9788073636012,Doko?án s.r.o.,2,168,?eský,"Adamité neboli ""nahá?i"" byli jednou z nejzajímav?jších sekt nejen husitské doby, ale ve své podstat? celých našich d?jin. Vyrostli jednak z domácí duchovní tradice, z chiliasmu (o?ekávání brzkého druhého p?íchodu Krista), jednak byli ovlivn?ni náboženskými proudy z ciziny. Významným impulsem pro rozvoj adamitství byla také eucharistická nauka táborského kn?ze Martina Húsky, který usiloval o znovuzavedení starok?es?anských hod? lásky - agapé. Autor ve své knize mapuje d?jiny této sekty od zformování Húskovy náboženské skupiny, p?es její radikalizaci a vyhnání z Tábora, až po nalezení úto?išt? na ostrov? na ?ece Nežárce, odkud podnikala p?epady okolních m?ste?ek. Adamitská hereze nakonec p?im?la Jana Žižku, aby zasáhl... Kniha nám p?ibližuje st?edov?ký sv?t s jeho duchovními i sv?tskými spory na pozadí husitských válek.","Zeman, Tomáš (obálka)",,,,2005
Richard Rohr,Adam?v návrat,Mužská iniciace,9788070217849,Vyšehrad,0,176,?eský,"I u nás dob?e známý americký autor duchovn? terapeutické literatury p?edkládá svou vizi duchovní cesty. Východiskem jeho prakticky orientovaného konceptu duchovního zrání jsou inicia?ní rity, existující ve všech kulturách, které reinterpretuje tak, aby odrážely vnit?ní pot?eby, touhy i slabiny dnešního muže a pomáhaly je zvládnout na vyšší rovin?.   ",,Tomáš Svoboda,"Adams Return, The Five Promises of Male Initation",anglický,2008
Brown Sandra,Adam?v pád,,9788024911199,Euromedia Group k.s.,13,160,?eský,"Lila Masonová byla v posledních letech sv?dkem, jak se její starší sestra zamilovala, vdala a m?la d?ti. Ona sama veškerou energii v?novala své profesi a vypracovala se na vynikající fyzioterapeutku, která nikdy neklesá na duchu a neztrácí soucit s pacienty. Když p?ijme nový náro?ný úkol, zm?ní se nejen život jejího sv??ence, ale i její vlastní. Ješt? nikdy nem?la tak umín?ného pacienta, jako je Adam. P?esto je Lila odhodlaná pomoci mu k návratu do normálního života. P?íliš pozd? p?ijde na to, že sice vyhrává bitvu o Adamovo zdraví, ale ztrácí srdce a za?íná pochybovat o svých p?edstavách o mužích, lásce a zejména o sob?...",,"Chyšková, Marie",Adam´s Fall,anglický,2016
"Vará?ková, Miroslava",Adaptace,,9788075290502,"Nakladatelství Slovart, s.r.o.",13,264,?eský,"Zoya m?la všechno – domov, p?átele, rodinu… A pak lidstvo zdecimovaly války. Te? nemá nic. P?išla i o sv?j domov. Ale p?izp?sobila se. Vp?ed ji pohání jen nad?je, že ji vzácná mapa dovede do posledního úto?išt? na Zemi. Lidé zkoušení válkou a nemocemi se také p?izp?sobili novému sv?tu a bojují o každou minutu života. Osam?lá dívka putující neznámou krajinou je pro n? snadnou ko?istí. Když Zoje pom?že neznámý Šimon, poruší tím k?ehkou rovnováhu povále?ného spole?enství a musí za to zaplatit životem. A tak se Zoye vydává na cestu zni?enou krajinou s nad?jí, že ji mapa po jejím mrtvém kamarádovi skute?n? dovede p?ed brány m?sta, kde ješt? vládne lidskost. Tedy m?la by… Dystopická verze budoucnosti v nejnov?jším románu Miroslavy Vará?kové Adaptace má až nebezpe?n? blízko k realit?...",,,,,2006
