Author,Title,Subtitle,ISBN 1,Publisher,TS,Pages,Language,Annotations,Illustrator,Translator,Original Title,Original language,Date of publishing
"Schulze, Ingo",Adam a Evelyn,,9788087317006,"Nakladatelství Vakát, s. r. o.",13,280,?esk?,"?eny milují Adama, proto?e jim ?ije ?aty, ve kter?ch vypadají krásn? a ?ádostiv?. Adam má rád krásné ?eny. A kdy? navíc nosí jeho ?aty, nedoká?e ?ádné z nich odolat. Adam ?ije se svou láskou Evelyn. Ta ho jednoho horkého srpnového dne v roce 1989 nachytá, jak se miluje se zákaznicí. Místo s Adamem odjí?dí Evelyn do Ma?arska k Balatonu se svou kamarádkou a jejím západon?meck?m bratrancem. Adam se vydává za nimi. Kv?li Evelyn by jel na konec sv?ta – a mo?ná, ?e a? tam bude muset zajet, proto?e Ma?arsko práv? hodlá otev?ít hranice na Západ. Najednou je zakázané ovoce zralé a v?ichni se musí rozhodnout. Ve v?jime?né situaci onoho pozdního léta roku 1989, v ?ase nenadálé svobody, objevuje Ingo Schulze pradávn? p?íb?h zákazu a poku?ení, lásky a poznání, a v neposlední ?ad? i touhy po ráji.",,"Dimter, Tomá?",Adam und Evelyn,n?meck?,2005
Wells Spencer,Adam a jeho rod,Genetická odysea ?lov?ka,9788072036400,Argo spol. s r.o.,2,256,?esk?,"Existence na?í pramatky, slavné Evy, je dnes ji? tak?ka obecn? p?ijímanou hypotézou. Ale existoval i Adam? Zdá se, ?e ano. P?ed  ?edesáti tisíci lety se procházel po africk?ch pláních mu?, podle v?eho p?edek v?ech lidí, kte?í ?ili na na?í planet? v posledních n?kolika tisících letech – vás, císa?? Augusta i Napoleona, milenek Eskymo Welzla  i ná?elníka kmene Apa??. Pro? to byl práv? on? Jak se dostali Adamovi potomci do v?ech kout? sv?ta? A co se stalo s potomky ostatních mu??? Na tyto a dal?í otázky odpovídá kniha genetika Spencera Wellse a mapuje p?i tom putování lidského rodu na základ? stop, které nám poskytuje DNA. B?hem této vzru?ující cesty m??eme pochopit i vznik ohromující rozmanitosti lidsk?ch ras a typ?, které se li?í  velikostí postavy, barvou pleti  a v neposlední ?ad? i jazyky.",,Kalous Martin,The Journey of Man,anglick?,2005
"Wells, Spencer",Adam a jeho rod.,Genetická odysea ?lov?ka,9788086569796,Doko?án s.r.o.,2,256,?esk?,"Existence na?í pramatky, slavné Evy, je dnes ji? obecn? p?ijímanou hypotézou. Ale existoval i Adam? Zdá se, ?e ano. P?ed ?edesáti tisíci lety se procházel po africk?ch pláních mu?, kter? byl podle v?eho p?edkem v?ech lidí, kte?í na Zemi v historické dob? ?ili. Pro? to byl práv? on? Jak se dostali Adamovi potomci do v?ech kout? sv?ta? A co se stalo s d?tmi ostatních mu??? Na tyto a dal?í otázky odpovídá kniha genetika Spencera Wellse, kter? mapuje putování lidského rodu na základ? stop, je? nám poskytuje DNA. B?hem této vzru?ující cesty pochopíme i vznik lidsk?ch ras a typ?.",,Martin Kalous,The Journey of Man,angli?tina,2012
"Rupnik, Marko Ivan",Adam a jeho ?ebro,,9788074120527,REFUGIUM Velehrad-Roma,0,80,?esk?,"Jak mu? pro?ívá sou?ást svého t?la, darovanou ?enu? O tom zasv?cen? pojednává dramatická ?etba prvních stránek biblického p?íb?hu o stvo?ení ?eny, v interpretaci um?lce-teologa Marka Rupnika SJ. Text hovo?í o ?etn?ch stránkách man?elského sou?ití.","Rupnik, Marko Ivan","?unek, Josef",Adamo e il suo costato,italsk?,2007
"Urbánková, Dagmar",Adam a koleno,,9788087022122,Baobab&GplusG,14,48,?esk?,"Netuctov? p?íb?h Dagmar Urbánkové je z t?ch, které nejdou z hlavy. Vypraví o Adamovi a rozbitém kolen?. A pro? by se d?j nemohl odehrávat p?ímo pod roztr?enou nohavicí? Mal? sv?t za trhlinou kalhot sestavila autorka z miniaturních v?ci?ek: kousk? pomeran?ové k?ry, klacík?, v?tví, list? a samoz?ejm? mali?k?ch loutek. Její scénografie nep?sobí nijak teatráln?, jsou neokázalé a vtipné a dopln?né stru?n?m, av?ak d?tí znal?m textem.",,,,,2013
"Sehnal, Ji?í",Adam Michna z Otradovic - skladatel,,9788024434353,Univerzita Palackého v Olomouci,9,208,?esk?,"Varhaník farního kostela v Jind?ichov? Hradci Adam Václav Michna z Otradovic (1600-1676) byl nejen vynikajícím básníkem, ale sou?asn? nejlep?ím ?esk?m kladatelem 17. století. Kniha je v?nována jeho ?ivotu a hudebnímu dílu, které je analyzováno a srovnáváno s tvorbou jeho sou?asník? a s p?ihlédnutím k hudební situaci v ?esk?ch zemích po roce 1620. Postupn? je pojednáno o ti?t?n?ch sbírkách: Obsequium Marianum (Víde? 1642), ?eská mariánská muzika (Praha 1647), Officium vespertinum (Praha 1648), Loutna ?eská (Praha 1653), Sacra et Litaniae (Praha 1654), Svatoro?ní muzika (Praha 1661) a o rukopisn? dochovan?ch skladbách (Missa s. Wenceslai a Magnificat).",,,,,2010
"Sehnal, Ji?í",Adam Michna z Otradovic: Missa sancti Wenceslai,,9788024425450,Univerzita Palackého v Olomouci,16,144,?esk?,"Missa sancti Wenceslai byla ji? vydána v rámci ?ady Musica antiqua bohemica a dnes p?edstavuje tém?? klasické dílo ?eské edi?ní praxe. Byla toti? první edicí v?t?í Michnovy skladby, a zárove? také jednou z prvních edic staré ?eské vokální (liturgické) hudby, která sm?la vyjít v 60. letech 20. století.",,,,,2013
"Sehnal, Ji?í",Adam Michna: Magnificat,,9788024432823,Univerzita Palackého v Olomouci,16,72,?esk?,"Jde o první vydání rukopisného Magnificat nejv?zna?n?j?ího ?eského barokního skladatele Adama Michny z Otradovic (1600-1676). P?edloha pochází z M?stské knihovny ve Vratislavi, ale dnes je uchována ve Státní knihovn? v Berlín? jako Preussischer Kulturbesitz. Skladba je zvlá?tní tím, ?e obsahuje pouze liché ver?e chvalozp?vu Magnificat. Tato úprava v?ak není p?vodní. Podle dvou dochovan?ch hlas? je z?ejmé, ?e p?vodní verze obsahovala hudbu pro v?echny ver?e a m?la jen 12 hlas?. Neznám? hudebník ve Vratislavi roz?í?il obsazení na 16 hlas? a ponechal z Michnova díla jen liché ver?e. Partitura p?iná?í jeho úpravu pro 16 hlas?. Generální bas a part teorby z p?vodního zn?ní pro 12 hlas? je p?ipojen za partiturou.",,,,,2008
"Motlová, Milada",Adam p?jde do ?koly,,9788024222561,Euromedia Group k.s.,14,112,?esk?,"Pro v?echny d?ti, které se chystají do ?koly! Tato kní?ka je ""?ivou abecedou"" pro v?echny d?ti, které se chystají do ?koly (ale také pro jejich rodi?e a u?itelky mate?sk?ch ?kol). Zdaleka tu v?ak nejde jen o písmena a ?íslice. Pozornost je zam??ena p?edev?ím na ""abecedu"" rodiny, p?írody, lidského t?la a prost?edí, ve kterém lidé ?ijí a pracují. D?ti se dozví, jak se m??í ?as, jak se prom??uje voda, po?así i ro?ní období. P?i h?e si procvi?í pam?? a logické my?lení, najdou podn?ty k vlastnímu vyjad?ování. A na stránkách se?itu si ka?dé aktivn? vyzkou?í post?eh, soust?ed?ní i ?ikovnost sv?ch rukou.",,,,,2015
"Motlová, Milada",Adam p?jde do ?koly,,9788024250991,Euromedia Group k.s.,14,112,?esk?,"Tato kní?ka je ""?ivou abecedou"" pro v?echny d?ti, které se  chystají do ?koly (ale také pro jejich rodi?e a u?itelky  mate?sk?ch ?kol). Zdaleka tu v?ak nejde jen o písmena a ?íslice.  Pozornost je zam??ena p?edev?ím na ""abecedu"" rodiny, p?írody,  lidského t?la a prost?edí, ve kterém lidé ?ijí a pracují. D?ti se  dozví, jak se m??í ?as, jak se prom??uje voda, po?así i ro?ní  období. P?i h?e si procvi?í pam?t a logické my?lení, najdou  podn?ty k vlastnímu vyjad?ování. A na stránkách se?itu si ka?dé  aktivn? vyzkou?í post?eh, soust?ed?ní i ?ikovnost sv?ch rukou.",,,,,2014
